name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,is_legendary,defensive_profile,weaknesses,role
metapod,bug,,50,20,55,25,25,30,False,"{'normal': 1, 'fire': 2, 'water': 1, 'electric': 1, 'grass': 0.5, 'ice': 1, 'fighting': 0.5, 'poison': 1, 'ground': 0.5, 'flying': 2, 'psychic': 1, 'bug': 1, 'rock': 2, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 1}","['fire', 'flying', 'rock']",balanced
butterfree,bug,flying,60,45,50,90,80,70,False,"{'normal': 1, 'fire': 2, 'water': 1, 'electric': 2, 'grass': 0.25, 'ice': 2, 'fighting': 0.25, 'poison': 1, 'ground': 0.0, 'flying': 2, 'psychic': 1, 'bug': 0.5, 'rock': 4, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 1}","['fire', 'electric', 'ice', 'flying', 'rock']",balanced
weedle,bug,poison,40,35,30,20,20,50,False,"{'normal': 1, 'fire': 2, 'water': 1, 'electric': 1, 'grass': 0.25, 'ice': 1, 'fighting': 0.25, 'poison': 0.5, 'ground': 1.0, 'flying': 2, 'psychic': 2, 'bug': 0.5, 'rock': 2, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 0.5}","['fire', 'flying', 'psychic', 'rock']",balanced
kakuna,bug,poison,45,25,50,25,25,35,False,"{'normal': 1, 'fire': 2, 'water': 1, 'electric': 1, 'grass': 0.25, 'ice': 1, 'fighting': 0.25, 'poison': 0.5, 'ground': 1.0, 'flying': 2, 'psychic': 2, 'bug': 0.5, 'rock': 2, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 0.5}","['fire', 'flying', 'psychic', 'rock']",balanced
beedrill,bug,poison,65,90,40,45,80,75,False,"{'normal': 1, 'fire': 2, 'water': 1, 'electric': 1, 'grass': 0.25, 'ice': 1, 'fighting': 0.25, 'poison': 0.5, 'ground': 1.0, 'flying': 2, 'psychic': 2, 'bug': 0.5, 'rock': 2, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 0.5}","['fire', 'flying', 'psychic', 'rock']",balanced
pidgey,normal,flying,40,45,40,35,35,56,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 2, 'grass': 0.5, 'ice': 2, 'fighting': 1.0, 'poison': 1, 'ground': 0, 'flying': 1, 'psychic': 1, 'bug': 0.5, 'rock': 2, 'ghost': 0, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 1}","['electric', 'ice', 'rock']",balanced
pidgeotto,normal,flying,63,60,55,50,50,71,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 2, 'grass': 0.5, 'ice': 2, 'fighting': 1.0, 'poison': 1, 'ground': 0, 'flying': 1, 'psychic': 1, 'bug': 0.5, 'rock': 2, 'ghost': 0, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 1}","['electric', 'ice', 'rock']",balanced
pidgeot,normal,flying,83,80,75,70,70,101,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 2, 'grass': 0.5, 'ice': 2, 'fighting': 1.0, 'poison': 1, 'ground': 0, 'flying': 1, 'psychic': 1, 'bug': 0.5, 'rock': 2, 'ghost': 0, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 1}","['electric', 'ice', 'rock']",balanced
rattata,normal,,30,56,35,25,35,72,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 1, 'fighting': 2, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 1, 'ghost': 0, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 1}",['fighting'],balanced
raticate,normal,,55,81,60,50,70,97,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 1, 'fighting': 2, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 1, 'ghost': 0, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 1}",['fighting'],balanced
spearow,normal,flying,40,60,30,31,31,70,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 2, 'grass': 0.5, 'ice': 2, 'fighting': 1.0, 'poison': 1, 'ground': 0, 'flying': 1, 'psychic': 1, 'bug': 0.5, 'rock': 2, 'ghost': 0, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 1}","['electric', 'ice', 'rock']",balanced
fearow,normal,flying,65,90,65,61,61,100,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 2, 'grass': 0.5, 'ice': 2, 'fighting': 1.0, 'poison': 1, 'ground': 0, 'flying': 1, 'psychic': 1, 'bug': 0.5, 'rock': 2, 'ghost': 0, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 1}","['electric', 'ice', 'rock']",fast attacker
ekans,poison,,35,60,44,40,54,55,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 0.5, 'ice': 1, 'fighting': 0.5, 'poison': 0.5, 'ground': 2, 'flying': 1, 'psychic': 2, 'bug': 0.5, 'rock': 1, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 0.5}","['ground', 'psychic']",balanced
arbok,poison,,60,95,69,65,79,80,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 0.5, 'ice': 1, 'fighting': 0.5, 'poison': 0.5, 'ground': 2, 'flying': 1, 'psychic': 2, 'bug': 0.5, 'rock': 1, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 0.5}","['ground', 'psychic']",balanced
pikachu,electric,,35,55,40,50,50,90,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 0.5, 'grass': 1, 'ice': 1, 'fighting': 1, 'poison': 1, 'ground': 2, 'flying': 0.5, 'psychic': 1, 'bug': 1, 'rock': 1, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 0.5, 'fairy': 1}",['ground'],balanced
raichu,electric,,60,90,55,90,80,110,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 0.5, 'grass': 1, 'ice': 1, 'fighting': 1, 'poison': 1, 'ground': 2, 'flying': 0.5, 'psychic': 1, 'bug': 1, 'rock': 1, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 0.5, 'fairy': 1}",['ground'],fast attacker
sandshrew,ground,,50,75,85,20,30,40,False,"{'normal': 1, 'fire': 1, 'water': 2, 'electric': 0, 'grass': 2, 'ice': 2, 'fighting': 1, 'poison': 0.5, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 0.5, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 1}","['water', 'grass', 'ice']",balanced
sandslash,ground,,75,100,110,45,55,65,False,"{'normal': 1, 'fire': 1, 'water': 2, 'electric': 0, 'grass': 2, 'ice': 2, 'fighting': 1, 'poison': 0.5, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 0.5, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 1}","['water', 'grass', 'ice']",physical attacker
nidoran-f,poison,,55,47,52,40,40,41,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 0.5, 'ice': 1, 'fighting': 0.5, 'poison': 0.5, 'ground': 2, 'flying': 1, 'psychic': 2, 'bug': 0.5, 'rock': 1, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 0.5}","['ground', 'psychic']",balanced
nidorina,poison,,70,62,67,55,55,56,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 0.5, 'ice': 1, 'fighting': 0.5, 'poison': 0.5, 'ground': 2, 'flying': 1, 'psychic': 2, 'bug': 0.5, 'rock': 1, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 0.5}","['ground', 'psychic']",balanced
nidoqueen,poison,ground,90,92,87,75,85,76,False,"{'normal': 1, 'fire': 1, 'water': 2, 'electric': 0, 'grass': 1.0, 'ice': 2, 'fighting': 0.5, 'poison': 0.25, 'ground': 2, 'flying': 1, 'psychic': 2, 'bug': 0.5, 'rock': 0.5, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 0.5}","['water', 'ice', 'ground', 'psychic']",bulky defender
nidoran-m,poison,,46,57,40,40,40,50,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 0.5, 'ice': 1, 'fighting': 0.5, 'poison': 0.5, 'ground': 2, 'flying': 1, 'psychic': 2, 'bug': 0.5, 'rock': 1, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 0.5}","['ground', 'psychic']",balanced
nidorino,poison,,61,72,57,55,55,65,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 0.5, 'ice': 1, 'fighting': 0.5, 'poison': 0.5, 'ground': 2, 'flying': 1, 'psychic': 2, 'bug': 0.5, 'rock': 1, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 0.5}","['ground', 'psychic']",balanced
nidoking,poison,ground,81,102,77,85,75,85,False,"{'normal': 1, 'fire': 1, 'water': 2, 'electric': 0, 'grass': 1.0, 'ice': 2, 'fighting': 0.5, 'poison': 0.25, 'ground': 2, 'flying': 1, 'psychic': 2, 'bug': 0.5, 'rock': 0.5, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 0.5}","['water', 'ice', 'ground', 'psychic']",physical attacker
clefairy,fairy,,70,45,48,60,65,35,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 1, 'fighting': 0.5, 'poison': 2, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 0.5, 'rock': 1, 'ghost': 1, 'dragon': 0, 'dark': 0.5, 'steel': 2, 'fairy': 1}","['poison', 'steel']",balanced
clefable,fairy,,95,70,73,95,90,60,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 1, 'fighting': 0.5, 'poison': 2, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 0.5, 'rock': 1, 'ghost': 1, 'dragon': 0, 'dark': 0.5, 'steel': 2, 'fairy': 1}","['poison', 'steel']",bulky defender
vulpix,fire,,38,41,40,50,65,65,False,"{'normal': 1, 'fire': 0.5, 'water': 2, 'electric': 1, 'grass': 0.5, 'ice': 0.5, 'fighting': 1, 'poison': 1, 'ground': 2, 'flying': 1, 'psychic': 1, 'bug': 0.5, 'rock': 2, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 0.5, 'fairy': 0.5}","['water', 'ground', 'rock']",balanced
ninetales,fire,,73,76,75,81,100,100,False,"{'normal': 1, 'fire': 0.5, 'water': 2, 'electric': 1, 'grass': 0.5, 'ice': 0.5, 'fighting': 1, 'poison': 1, 'ground': 2, 'flying': 1, 'psychic': 1, 'bug': 0.5, 'rock': 2, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 0.5, 'fairy': 0.5}","['water', 'ground', 'rock']",defensive support
jigglypuff,normal,fairy,115,45,20,45,25,20,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 1, 'fighting': 1.0, 'poison': 2, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 0.5, 'rock': 1, 'ghost': 0, 'dragon': 0, 'dark': 0.5, 'steel': 2, 'fairy': 1}","['poison', 'steel']",balanced
wigglytuff,normal,fairy,140,70,45,85,50,45,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 1, 'fighting': 1.0, 'poison': 2, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 0.5, 'rock': 1, 'ghost': 0, 'dragon': 0, 'dark': 0.5, 'steel': 2, 'fairy': 1}","['poison', 'steel']",balanced
zubat,poison,flying,40,45,35,30,40,55,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 2, 'grass': 0.25, 'ice': 2, 'fighting': 0.25, 'poison': 0.5, 'ground': 0, 'flying': 1, 'psychic': 2, 'bug': 0.25, 'rock': 2, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 0.5}","['electric', 'ice', 'psychic', 'rock']",balanced
golbat,poison,flying,75,80,70,65,75,90,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 2, 'grass': 0.25, 'ice': 2, 'fighting': 0.25, 'poison': 0.5, 'ground': 0, 'flying': 1, 'psychic': 2, 'bug': 0.25, 'rock': 2, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 0.5}","['electric', 'ice', 'psychic', 'rock']",balanced
oddish,grass,poison,45,50,55,75,65,30,False,"{'normal': 1, 'fire': 2, 'water': 0.5, 'electric': 0.5, 'grass': 0.25, 'ice': 2, 'fighting': 0.5, 'poison': 1.0, 'ground': 1.0, 'flying': 2, 'psychic': 2, 'bug': 1.0, 'rock': 1, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 0.5}","['fire', 'ice', 'flying', 'psychic']",balanced
gloom,grass,poison,60,65,70,85,75,40,False,"{'normal': 1, 'fire': 2, 'water': 0.5, 'electric': 0.5, 'grass': 0.25, 'ice': 2, 'fighting': 0.5, 'poison': 1.0, 'ground': 1.0, 'flying': 2, 'psychic': 2, 'bug': 1.0, 'rock': 1, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 0.5}","['fire', 'ice', 'flying', 'psychic']",balanced
vileplume,grass,poison,75,80,85,110,90,50,False,"{'normal': 1, 'fire': 2, 'water': 0.5, 'electric': 0.5, 'grass': 0.25, 'ice': 2, 'fighting': 0.5, 'poison': 1.0, 'ground': 1.0, 'flying': 2, 'psychic': 2, 'bug': 1.0, 'rock': 1, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 0.5}","['fire', 'ice', 'flying', 'psychic']",special attacker
paras,bug,grass,35,70,55,45,55,25,False,"{'normal': 1, 'fire': 4, 'water': 0.5, 'electric': 0.5, 'grass': 0.25, 'ice': 2, 'fighting': 0.5, 'poison': 2, 'ground': 0.25, 'flying': 4, 'psychic': 1, 'bug': 2, 'rock': 2, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 1}","['fire', 'ice', 'poison', 'flying', 'bug', 'rock']",balanced
parasect,bug,grass,60,95,80,60,80,30,False,"{'normal': 1, 'fire': 4, 'water': 0.5, 'electric': 0.5, 'grass': 0.25, 'ice': 2, 'fighting': 0.5, 'poison': 2, 'ground': 0.25, 'flying': 4, 'psychic': 1, 'bug': 2, 'rock': 2, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 1}","['fire', 'ice', 'poison', 'flying', 'bug', 'rock']",balanced
venonat,bug,poison,60,55,50,40,55,45,False,"{'normal': 1, 'fire': 2, 'water': 1, 'electric': 1, 'grass': 0.25, 'ice': 1, 'fighting': 0.25, 'poison': 0.5, 'ground': 1.0, 'flying': 2, 'psychic': 2, 'bug': 0.5, 'rock': 2, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 0.5}","['fire', 'flying', 'psychic', 'rock']",balanced
venomoth,bug,poison,70,65,60,90,75,90,False,"{'normal': 1, 'fire': 2, 'water': 1, 'electric': 1, 'grass': 0.25, 'ice': 1, 'fighting': 0.25, 'poison': 0.5, 'ground': 1.0, 'flying': 2, 'psychic': 2, 'bug': 0.5, 'rock': 2, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 0.5}","['fire', 'flying', 'psychic', 'rock']",balanced
diglett,ground,,10,55,25,35,45,95,False,"{'normal': 1, 'fire': 1, 'water': 2, 'electric': 0, 'grass': 2, 'ice': 2, 'fighting': 1, 'poison': 0.5, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 0.5, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 1}","['water', 'grass', 'ice']",balanced
dugtrio,ground,,35,100,50,50,70,120,False,"{'normal': 1, 'fire': 1, 'water': 2, 'electric': 0, 'grass': 2, 'ice': 2, 'fighting': 1, 'poison': 0.5, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 0.5, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 1}","['water', 'grass', 'ice']",fast attacker
meowth,normal,,40,45,35,40,40,90,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 1, 'fighting': 2, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 1, 'ghost': 0, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 1}",['fighting'],balanced
persian,normal,,65,70,60,65,65,115,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 1, 'fighting': 2, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 1, 'ghost': 0, 'dragon': 1, 'dark': 1, 'steel': 1, 'fairy': 1}",['fighting'],balanced
psyduck,water,,50,52,48,65,50,55,False,"{'normal': 1, 'fire': 0.5, 'water': 0.5, 'electric': 2, 'grass': 2, 'ice': 0.5, 'fighting': 1, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 1, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 0.5, 'fairy': 1}","['electric', 'grass']",balanced
golduck,water,,80,82,78,95,80,85,False,"{'normal': 1, 'fire': 0.5, 'water': 0.5, 'electric': 2, 'grass': 2, 'ice': 0.5, 'fighting': 1, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 1, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 0.5, 'fairy': 1}","['electric', 'grass']",bulky defender
mankey,fighting,,40,80,35,35,45,70,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 1, 'fighting': 1, 'poison': 1, 'ground': 1, 'flying': 2, 'psychic': 2, 'bug': 0.5, 'rock': 0.5, 'ghost': 1, 'dragon': 1, 'dark': 0.5, 'steel': 1, 'fairy': 2}","['flying', 'psychic', 'fairy']",balanced
primeape,fighting,,65,105,60,60,70,95,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 1, 'fighting': 1, 'poison': 1, 'ground': 1, 'flying': 2, 'psychic': 2, 'bug': 0.5, 'rock': 0.5, 'ghost': 1, 'dragon': 1, 'dark': 0.5, 'steel': 1, 'fairy': 2}","['flying', 'psychic', 'fairy']",physical attacker
growlithe,fire,,55,70,45,70,50,60,False,"{'normal': 1, 'fire': 0.5, 'water': 2, 'electric': 1, 'grass': 0.5, 'ice': 0.5, 'fighting': 1, 'poison': 1, 'ground': 2, 'flying': 1, 'psychic': 1, 'bug': 0.5, 'rock': 2, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 0.5, 'fairy': 0.5}","['water', 'ground', 'rock']",balanced
arcanine,fire,,90,110,80,100,80,95,False,"{'normal': 1, 'fire': 0.5, 'water': 2, 'electric': 1, 'grass': 0.5, 'ice': 0.5, 'fighting': 1, 'poison': 1, 'ground': 2, 'flying': 1, 'psychic': 1, 'bug': 0.5, 'rock': 2, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 0.5, 'fairy': 0.5}","['water', 'ground', 'rock']",physical attacker
poliwag,water,,40,50,40,40,40,90,False,"{'normal': 1, 'fire': 0.5, 'water': 0.5, 'electric': 2, 'grass': 2, 'ice': 0.5, 'fighting': 1, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 1, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 0.5, 'fairy': 1}","['electric', 'grass']",balanced
poliwhirl,water,,65,65,65,50,50,90,False,"{'normal': 1, 'fire': 0.5, 'water': 0.5, 'electric': 2, 'grass': 2, 'ice': 0.5, 'fighting': 1, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 1, 'bug': 1, 'rock': 1, 'ghost': 1, 'dragon': 1, 'dark': 1, 'steel': 0.5, 'fairy': 1}","['electric', 'grass']",balanced
poliwrath,water,fighting,90,95,95,70,90,70,False,"{'normal': 1, 'fire': 0.5, 'water': 0.5, 'electric': 2, 'grass': 2, 'ice': 0.5, 'fighting': 1, 'poison': 1, 'ground': 1, 'flying': 2, 'psychic': 2, 'bug': 0.5, 'rock': 0.5, 'ghost': 1, 'dragon': 1, 'dark': 0.5, 'steel': 0.5, 'fairy': 2}","['electric', 'grass', 'flying', 'psychic', 'fairy']",bulky defender
abra,psychic,,25,20,15,105,55,90,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 1, 'fighting': 0.5, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 0.5, 'bug': 2, 'rock': 1, 'ghost': 2, 'dragon': 1, 'dark': 2, 'steel': 1, 'fairy': 1}","['bug', 'ghost', 'dark']",special attacker
kadabra,psychic,,40,35,30,120,70,105,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 1, 'fighting': 0.5, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 0.5, 'bug': 2, 'rock': 1, 'ghost': 2, 'dragon': 1, 'dark': 2, 'steel': 1, 'fairy': 1}","['bug', 'ghost', 'dark']",fast attacker
alakazam,psychic,,55,50,45,135,95,120,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 1, 'fighting': 0.5, 'poison': 1, 'ground': 1, 'flying': 1, 'psychic': 0.5, 'bug': 2, 'rock': 1, 'ghost': 2, 'dragon': 1, 'dark': 2, 'steel': 1, 'fairy': 1}","['bug', 'ghost', 'dark']",fast attacker
machop,fighting,,70,80,50,35,35,35,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 1, 'fighting': 1, 'poison': 1, 'ground': 1, 'flying': 2, 'psychic': 2, 'bug': 0.5, 'rock': 0.5, 'ghost': 1, 'dragon': 1, 'dark': 0.5, 'steel': 1, 'fairy': 2}","['flying', 'psychic', 'fairy']",balanced
machoke,fighting,,80,100,70,50,60,45,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 1, 'fighting': 1, 'poison': 1, 'ground': 1, 'flying': 2, 'psychic': 2, 'bug': 0.5, 'rock': 0.5, 'ghost': 1, 'dragon': 1, 'dark': 0.5, 'steel': 1, 'fairy': 2}","['flying', 'psychic', 'fairy']",physical attacker
machamp,fighting,,90,130,80,65,85,55,False,"{'normal': 1, 'fire': 1, 'water': 1, 'electric': 1, 'grass': 1, 'ice': 1, 'fighting': 1, 'poison': 1, 'ground': 1, 'flying': 2, 'psychic': 2, 'bug': 0.5, 'rock': 0.5, 'ghost': 1, 'dragon': 1, 'dark': 0.5, 'steel': 1, 'fairy': 2}","['flying', 'psychic', 'fairy']",physical attacker
